wordId|bookNameEng|bookNameMM|shortNameMM
1|Genesis|ကမ္ဘာဦးကျမ်း|ကမ္ဘာ
2|Exodus|ထွက်မြောက်ရာကျမ်း|ထွက်မြောက်
3|Leviticus|ဝတ်ပြုရာကျမ်း|ဝတ်ပြု
4|Numbers|တောလည်ရာကျမ်း|တောလည်
5|Deuteronomy|တရားဟောရာကျမ်း|တရား
6|Joshua|ယောရှုမှတ်စာ|ယောရှု
7|Judges|တရားသူကြီးမှတ်စာ|တရား
8|Ruth|ရုသဝတ္ထု|ရုသ
9|1 Samuel|ဓမ္မရာဇဝင် ‌ပဋ္ဌမစောင်|၁ ရာ
10|2 Samuel|ဓမ္မရာဇဝင် ‌ဒုတိယစောင်|၂ ရာ
11|1 Kings|ဓမ္မရာဇဝင် တတိယစောင်|၃ ရာ
12|2 Kings|ဓမ္မရာဇဝင် ‌စတုတ္ထစောင်|၄ ရာ
13|1 Chronicles|ရာဇဝင်ချုပ် ပဌမစောင်|၅ ရာ
14|2 Chronicles|ရာဇဝင်ချုပ် ဒုတိယစောင်|၆ ရာ
15|Ezra|ဧဇရမှတ်စာ|ဧဇရ
16|Nehemiah|နေဟမိမှတ်စာ|နေဟမိ
17|Esther|ဧသတာဝတ္ထု|ဧသတာ
18|Job|ယောဘဝတ္ထု|ယောဘ
19|Psalms|ဆာလံကျမ်း|ဆာလံ
20|Proverbs|သုတ္တံကျမ်း|သုတ္တံ
21|Ecclesiastes|ဒေသနာကျမ်း|ဒေသနာ
22|Song of Solomon|ရှောလမုန်သီချင်း|ရှောလမုန်
23|Isaiah|ဟေရှာယအနာဂတ္တိကျမ်း|ဟေရှာယ
24|Jeremiah|ယေရမိအနာဂတ္တိကျမ်း|ယေရမိအနာ
25|Lamentations|ယေရမိမြည်တမ်းစကား|ယေရမိမြည်
26|Ezekiel|ယေဇကျေလအနာဂတ္တိကျမ်း|ယေဇကျေလ
27|Daniel|ဒံယေလအနာဂတ္တိကျမ်း|ဒံယေလ
28|Hosea|ဟောရှေအနာဂတ္တိကျမ်း|ဟောရှေ
29|Joel|ယောလအနာဂတ္တိကျမ်း|ယောလ
30|Amos|အာမုတ်အနာဂတ္တိကျမ်း|အာမုတ်
31|Obadiah|ဩဗဒိဗျာဒိတ်ရူပါရုံ|ဩဗဒိ
32|Jonah|ယောနဝတ္ထု|ယောန
33|Micah|မိက္ခာအနာဂတ္တိကျမ်း|မိက္ခာ
34|Nahum|နာဟုံအနာဂတ္တိကျမ်း|နာဟုံ
35|Habakkuk|ဟဗက္ကုတ်အနာဂတ္တိကျမ်း|ဟဗက္ကုတ်
36|Zephaniah|ဇေဖနိအနာဂတ္တိကျမ်း|ဇေဖနိ
37|Haggai|ဟဂ္ဂဲအနာဂတ္တိကျမ်း|ဟဂ္ဂဲ
38|Zechariah|ဇာခရိအနာဂတ္တိကျမ်း|ဇာခရိ
39|Malachi|မာလခိအနာဂတ္တိကျမ်း|မာလခိ
40|Matthew|ရှင်မဿဲခရစ်ဝင်|မဿဲ
41|Mark|ရှင်မာကုခရစ်ဝင်|မာကု
42|Luke|ရှင်လုကာခရစ်ဝင်|လုကာ
43|John|ရှင်ယောဟန်ခရစ်ဝင်|ယောဟန်
44|Acts|တမန်တော်ဝတ္ထု|တမန်တော်
45|Romans|ရောမ ဩဝါဒစာ|ရောမ
46|1 Corinthians|ကောရိန္သု ဩဝါဒစာ ပဌမစောင်|၁ကော
47|2 Corinthians|ကောရိန္သု ဩဝါသစာ ဒုတိယစောင်|၂ကော
48|Galatians|ဂလာတိ ဩဝါဒစာ|ဂလာတိ
49|Ephesians|ဧဖက် ဩဝါဒစာ|ဧဖက်
50|Philippians|ဖိလိပ္ပိ ဩဝါဒစာ|ဖိလိပ္ပိ
51|Colossians|ကောလောသဲ ဩဝါဒစာ|ကောလောသဲ
52|1 Thessalonians|သက်သာလောနိတ် ဩဝါဒစာ ပဋ္ဌမစောင်|၁သက်
53|2 Thessalonians|သက်သာလောနိတ် ဩဝါဒစာ ဒုတိယစောင်|၂သက်
54|1 Timothy|တိမောသေ ဩဝါဒစာ ပဋ္ဌမစောင်|၁တိ
55|2 Timothy|တိမောသေ ဩဝါဒစာ ဒုတိယစောင်|၂တိ
56|Titus|တိတု ဩဝါဒစာ|တိတု
57|Philemon|ဖိလေမုန် ဩဝါဒစာ|ဖိလေမုန်
58|Hebrews|ဟေဗြဲ ဩဝါဒစာ|ဟေဗြဲ
59|James|ရှင်ယာကုပ် ‌ဩဝါဒစာ|ရှင်ယာကုပ်
60|1 Peter|ရှင်ပေတရု ဩဝါဒစာ ပဌမစောင်|၁ပေ
61|2 Peter|ရှင်ပေတရု ဩဝါဒစာ ဒုတိယစောင်|၂ပေ
62|1 John|ရှင်ယောဟန် ‌ဩဝါဒစာ ပဌမစောင်|၁ယော
63|2 John|ရှင်ယောဟန် ‌ဩဝါဒစာ ဒုတိယစောင်|၂ယော
64|3 John|ရှင်ယောဟန် ‌ဩဝါဒစာ တတိယစောင်|၃ယော
65|Jude|ရှင်ယုဒ ဩဝါဒစာ|ယုဒ
66|Revelation|ဗျာဒိတ်ကျမ်း|ဗျာဒိတ်
