id|songId|chorus
1|1|"ငါ၌ဝမ်းမြောက်ခြင်းရှိ၊ ကိုယ်တော်မိသားစုဝင်၊
သွေးစမ်း၌ဆေးကြောပြီးကာ၊ စင်ကြယ်စေပြီ၊
ယေရှုအားဖြင့်သာ၊ ပြည်တော်အမွေခံရ၊
ကိုယ်တော်၏မိသားစုဝင် ငါရွေးခြင်းခံပြီ။"
2|2|na
3|3|na
4|4|"သီဆိုပါ၊ သီဆိုပါ၊ ဝမ်းမြောက်ရွှင်လန်းသောသီချင်း၊
သီဆိုပါ၊ သီဆိုပါ၊ ပျော်ရွှင်သာယာသီချင်း။"
5|5|"ယေရှုနာမချိုသာလှ၊ ယေရှုပြောင်းလဲခြင်းမရှိ။
သန့်ရှင်းသူများကြွေးကြော်ကြ၊ ထာဝစဉ်ချီးကျူးထိုက်ပေ။"
6|6|"အံ့ဖွယ်မေတ္တာ၊ အံ့ဖွယ်မေတ္တာ၊
ယေရှုအံ့ဖွယ်သောမေတ္တာ၊
အံ့ဖွယ်မေတ္တာ၊ အံ့ဖွယ်မေတ္တာ၊
ယေရှုအံ့ဖွယ်သောမေတ္တာ။"
7|7|na
8|8|na
9|9|"သန့်ရှင်း၊ သန့်ရှင်း၊ သန့်ရှင်း၊ ဗိုလ်ခြေသခင်။
ကောင်းကင်နှင့်မြေကြီးတို့တွင်၊
ကိုယ်တော်ကိုချီးမွမ်းကြစဉ်၊
မြတ်ဆုံးသခင်။"
10|10|"ယေရှုရှင်ခြေတော်ရင်း၊ ပြန်လည်ဆုံတွေ့သည်တိုင်အောင်၊
သင်တို့နှင့်ကိုယ်တော်ရှင်၊ အစဉ်မပြတ်အတူရှိစေသော။"
11|11|na
12|12|na
13|13|na
14|14|"
ဘုရားသခင်၏သားတော်၊ ခေါ်ဝေါ်ခြင်းအခွင့်ကို၊
ငါတို့သည်ရမည်အကြောင်းတည်း၊
ဘုရားသခင်ငါတို့ကိုချစ်မေတ္တာတော်၊ ကြည့်ရှုလော့"
15|15|na
16|16|na
17|17|ကျွန်ုပ်ဝိညာဉ်ကိုယ်တော်ကိုချီးမွမ်းချင်၊ ကိုယ်တော်သာလျှင်ကယ်တင်ပိုင်ရှင်၊ ကျွန်ုပ်ဝိညာဉ်ကိုယ်တော်ကိုချီးမွမ်းစေ၊ ကိုယ်တော်သာလျှင်ကြီးမြတ်မူပေ။
18|18|na
19|19|na
20|20|"တင့်တယ်လှပရှိသမျှ၊ ကြီးငယ်သတ္တဝါသည်၊
အံ့ဩဖွယ်ရာရှိပေစွ၊ ဘုရားဖန်ဆင်းမူသည်။"
21|21|"စောင့်ထိန်းတော်မူလိမ့်မည်၊
နေ့စဉ်လျှောက်ရာခရီးလမ်းမှာ၊
ကိုယ်တော်စောင့်ထိန်းလိမ့်မည်၊
ကိုယ်တော်စောင့်ထိန်းမူရှာ။"
22|22|"ကိုယ်တော်သစ္စာကြီးမြတ်၊ ကိုယ်တော်သစ္စာကြီးမြတ်၊
နံနက်တိုင်းကရုဏာသစ်ကိုမြင်ရ၊
ငါလိုသမျှကိုကိုယ်တော်စီစဉ်မစ၊
ကိုယ်တော်သစ္စာကြီးမြတ်ကျွန်ုပ်ပေါ်မှာ။"
23|23|na
24|24|na
25|25|"ဘုရားရှင်၊ ကရုဏာ၊
(အံ့ဖွယ်ကရုဏာ၊ စုံလင်ကရုဏာ)
အပြစ်အားလုံးခွင့်လွှတ်ဆေးကြောသည်၊
ဘုရားရှင်၊ ကရုဏာ၊
(အံ့ဖွယ်ကရုဏာ၊ စုံလင်ကရုဏာ)
အပြစ်အားလုံးထက်ကြီးမားပေသည်။"
26|26|na
27|27|na
28|28|na
29|29|na
30|30|na
31|31|"လာကြ၊ ကိုးကွယ်ကြကုန်အံ့၊
လာကြ၊ ကိုးကွယ်ကြကုန်အံ့၊
ခရစ်တော်ရှင်ကို ကိုးကွယ်ကြကုန်အံ့။"
32|32|na
33|33|"အို - ရောင်ခြည်လင်း၊ အံ့ဖွယ်ကြယ်မင်း၊
တင့်တယ်တောက်ရောင်ခြည်ထွန်းလင်း၊
စုံလင်သောအလင်းတော်မြတ်သို့၊
ရှေ့ပြည်မှလမ်းပြဆောင်ပို့။"
34|34|na
35|35|na
36|36|"ယေရှုရှင်၏ဝတ္ထုပြောပါ၊ စုံစွာကျွန်ုပ်စိတ်တွင်ရေး၊
ဖိုးထိုက်ဝတ္ထုကိုပြောပြပါ၊ သာယာဆုံးဝတ္ထုဖြစ်ပေ။"
37|37|na
38|38|"တိုင်တော်ကိုကျွန်ုပ်သည်လေးမြတ်မည်၊
လမ်းဆုံးမှာအောင်ပန်းကိုချထားမည်။
ကျွန်ုပ်သည်မှီတွယ်သောတိုင်တော်နှင့်၊
သရဖူကိုတစ်နေ့ဖြင့်လဲချင်။"
39|39|"တိုင်တော်တွင်၊ တိုင်တော်တွင်၊ ပထမအလင်းမြင်၊
ကျွန်ုပ်နှလုံးမှဝန်ထုပ်လိမ့်သွား၏။
ထိုမှာယုံခြင်းဖြင့်အလင်းကိုမြင်သည်၊
ယခု၊ တစ်နေ့လုံးဝမ်းမြောက်လျက်ရှိ။"
40|40|"သင်္ချိုင်းတွင်းမှထမြောက်ပြီ၊
ရန်သူများပေါ်ဘုန်းတော်လွှမ်းမိုးခါ၊
နက်နဲရာထဲမှအောင်မြင်စွာတက်ကြွပြီ၊
သန့်ရှင်းသူနှင့်စိုးစံသက်ရှင်ထာဝရ၊
ထမြောက်ပြီ၊ ထမြောက်ပြီ၊
ဟာလေလုယထမြောက်ပြီ။"
41|41|"ဟုတ်ကဲ့မှုထား၊ ယေရှုမှုထား၊
ဝမ်းနည်းခြင်းကိုယ်တော်သိရှာ၊
မောပန်းနေ့များမှာ၊ စိတ်ညှိုးငယ်ညဉ့်ရှည်လျားချိန်မှာ၊
ယေရှုမှုထား။"
42|42|"မေတ္တာတော်သီချင်းဆိုမည်၊
ကိုယ်တော်ကိုစဉ်ချီးမွမ်းမည်၊
ကယ်တင်ရန်သေခံမူပြီ၊
မေတ္တာတော်သီချင်းဆိုမည်။"
43|43|"ရှိသောကျွန်ုပ်ကြွေး၊ ယေရှုဆပ်ပေးပြီး၊
ပြစ်စွန်းထင်းနီမြန်းသော်လည်း၊ မိုးပွင့်လိုဖြူစေတည်း။"
44|44|na
45|45|na
46|46|"အကျွန်ုပ်ကိုလည်း၊ ချစ်တော်မူပါ၏။
ကျမ်းစာ၌လာသည်၊ ယေရှုချစ်တော်မူ၏။"
47|47|na
48|48|na
49|49|"ကောင်းချီးမိုးရွာစေ၊ ကောင်းချီးမိုးရွာခြင်းလိုပေ။
ကရုဏာမိုးပေါက်ကျနေပေ၊ သို့သော်မိုးရွာခြင်းလိုသေး။"
50|50|"ယေရှုကျွန်ုပ်ကိုချစ်တော်မူသည်၊
အားရပေသည်၊ အားရပေသည်၊
ယေရှုကျွန်ုပ်ကိုချစ်တော်မူသည်၊
ကျွန်ုပ်ကိုပင်ချစ်သည်။"
51|51|"(ကောင်းဆုံးသောမိတ်ဆွေယေရှုတည်း)၂
သင်လဲသောခါထူမမည်၊ သင်ခေါ်သောခါနားညောင်းမည်၊
အိုကောင်းဆုံးသောမိတ်ဆွေယေရှုတည်း။"
52|52|"မေတ္တာတော်သည်၊ ဆွဲယူထုတ်သည်၊
ခပ်သိမ်းမကူညီလျှင်၊ မေတ္တာဆွဲသည်၊
မေတ္တာတော်သည်၊ ဆွဲယူထုတ်သည်၊
ခပ်သိမ်းမကူညီလျှင်၊ မေတ္တာဆွဲသည်။"
53|53|"ယေရှုအံ့ဖွယ်မေတ္တာတော်၊
တစ်နှစ်ထက်တစ်နှစ်တိုးသိ၊
နက်နဲကျယ်ဝန်းမြင့်သောအံ့ဖွယ်မေတ္တာတော်သည်၊
ကြားလေတိုးနာလည်ရ၏။"
54|54|"သီဆိုလော့၊ ထပ်ခါကျူးလော့၊ ပြစ်သားများယေရှုလက်ခံ၊
သတင်းပြောလော့ပြစ်သားထံ၊ ယေရှုရှင်ပြစ်သားလက်ခံ။"
55|55|"ကိုယ်တော်ရှင်၏ချစ်ခြင်းမေတ္တာ၊ နှုတ်ဖြင့်မြွက်ဆိုမမီနိုင်ရာ၊
ယေရှုကျွန်ုပ်အားချစ်သည်ကို၊ နှုတ်ဖြင့်မြွက်ဆိုမမီ။"
56|56|"ကြွပါ၊ ဘုန်းတော်ရှင်ဘုရင်ပြစ်သားများတွက်သက်စွန့်ရှင်၊
ပြောကြ၊ အံ့ဩဖွယ်ဝတ္ထု၊ စိုးစံယေရှုရှင်။"
57|57|"မျက်နှာချင်းဆိုင်ဖူးမြင်ရမှာ၊
ကောင်းကင်ကြယ်များတစ်ဖက်မှာ၊
ဘုန်းကြီးအရှင်မျက်နှာတော်အား၊
နောက်နောင်ဖူးရလိမ့်တကား။"
58|58|"အရှင်ယေရှုဘယ်မျှ၊ ဘယ်မျှ၊ ကြာသော်ကျူးအေးရကြ၊
ယေရှုကြွလာ၊ ဟာလေလုယ၊ ဟာလေလုယအာမင်၊
ဟာလေလုယ၊ အာမင်။"
59|59|"ချစ်သူတို့စုသိမ်းဖို့ပင်၊ ချစ်သူတို့စုသိမ်းဖို့ပင်။
မှောင်သောချိုင့်များကင်းမည်ယေရှုကြွလျှင်၊
ချစ်သူတို့စုသိမ်းဖို့ပင်။"
60|60|"ကြွလာဦးမည်၊ ကြွလာဦးမည်၊
ယေရှုကြွလာလိမ့်ဦးမည်။"
61|61|"အိုမိုးသောက်လင်းချိန်ရောက်လုပြီတကား၊
အိုမိုးသောက်လင်းချိန်ရောက်လုပြီတကား၊
နေ့ချိန်ရောက်လုနီး၍၊ ညဉ့်ချိန်ကုန်လုတကား။
အိုမိုးသောက်လင်းချိန်ရောက်လုပြီတကား။"
62|62|"ထိုရပ်မှာ နာမည်ခေါ်သောခါ၊
ထိုရပ်မှာ နာမည်ခေါ်သောခါ၊
ထိုရပ်မှာ နာမည်ခေါ်သောခါ၊
နာမည်ခေါ်သော်ကျွန်ုပ်ရှိမည်ထိုရပ်မှာ။"
63|63|"သရဖူတော်ထွန်းတောက်စွာ၊ မိုးသောက်ကြယ်နီပမာ။
စီထားကျောက်မြတ်များတို့သည်၊ တင့်တယ်ထွန်းလင်းသည်။"
64|64|"ကိုယ်တော်စပါးကျီတွင်စပါးသိမ်းလျှင်၊
ဖျင်းဖုန်ကိုကိုယ်တော်ပယ်ရှားလိမ့်တည်း။
ထမြောက်ခြင်းနေ့ကြီးတရားစီရင်၊
ကျွန်ုပ်တို့ဘယ်သို့တွေ့မည်နည်း။"
65|65|"မြော်လျက်စောင့်နေသည်၊ မြော်လျက်စောင့်နေသည်၊
မြော်လျက်စောင့်နေသည်၊ ကိုယ်တော်ကိုမြော်လျက်စောင့်နေသည်။"
