id|songId|verseNumber|verseContent
1|1|1|"ဤကမ္ဘာဝယ် တစ်ယောက်နှင့်တစ်ယောက်မောင်ရင်းနှမသဖွယ်
လွန်စွာချစ်ရင်းနှီးကြတဲ့အိမ်ထောင်မိသားစုပင်၊
သောကပူဆွေးခြင်းပင်၊ မျှဝေခံစားကြတယ်၊
အောင်မြင်တိုင်း မိသားစုပင် အတူဝမ်းမြောက်ကြတယ်။"
2|1|2|"မိဘမဲ့အိမ်တံခါး၀မှ၊ ဘုရင်၏အိမ်တော်သို့၊
ပယ်ခံထီးကျန်မဟုတ်ပါ၊ ဂုဏ်တော်ကျူးအေးရမှာ၊
ဆင်းရဲမှချမ်းသာသို့၊ အားနည်းခြင်းမှခွန်အား၊
မွေတော်မခံယူထိုက်ငြား၊ ကြီးမြတ်ဘုန်းတော်ချီးမွမ်း။"
3|2|1|"ဘုရားဇိအုန်၌စံစား၊ မြေကြီးဝမ်းမြောက်ကြချေ။
ကျေးဇူးပလ္လင်တော်ရှေ့ခစား၊ စိတ်ပါလျက်ကျူးအေးလေ၊
ဘုရားဇိအုန်၌စံစား၊ ချီးမွမ်းမည်ထိုအရပ်၊
ကိုယ်တော်အားမင်းအပေါင်းညွတ်တွား၊ ဘုရင်တို့ဘုန်းဆက်ကပ်။"
4|2|2|"ဇိအုန်၌စိုးစံဘုရား၊ ဘယ်သူမျှတုမနိုင်။
နက်နဲမြေကြီးလက်တော်၌ထား၊ စွမ်းကြီးပင်လယ်စိုးပိုင်၊
နာမတော်သိဒ္စိတင်ကုန်၊ အလံတော်ကိုထူလေ၊
ပင်လယ်၌ရှိကျွန်းအလုံးစုံ၊ ကယ်တင်တန်ခိုးသိစေ။"
5|3|3|"ဘုရားဇိအုန်၌စံပေ၊ ဤချိန်ကိုယ်တော်ဆိုင်လေ။
အို၊ ဗိမာန်တော်တံခါးသို့ဝင်၊ ကျူးအေးကြဝင်းတော်တွင်၊
အလံတော်မြတ်၏အောက်မှာ၊ သတ္တဝါပေါင်းဒူးထောက်၊
"
6|3|1|"ဖန်ဆင်းရှင်ဘုရင်မြတ်၊ ရှိသမျှကိုပေးအပ်။
မြတ်မင်္ဂလာအပေါင်းတို့သည်၊ ကိုယ်တော်မှဆင်းသက်၏။
မြတ်မင်္ဂလာအပေါင်းတို့သည်၊ ကိုယ်တော်မှဆင်းသက်၏။"
7|3|2|"နိမိတ္တသတ္တဝါ၊ ကိုယ်တော်၌သက်ရှင်ပါ။
ကိုယ်တော်၏ကောင်းချီးများအတွက်၊ ကျေးဇူးတော်ချီးမွမ်းချင်။
ကိုယ်တော်၏ကောင်းချီးများအတွက်၊ ကျေးဇူးတော်ချီးမွမ်းချင်။"
8|3|3|"ရှိသမျှကိုယ်တော်ပိုင်၊ ကျွန်ုပ်ဘာများလှူနိုင်။
မေတ္တာတော်ကိုတုံ့ပြန်ရာဝယ်၊ အားနည်းလှ၏တကား။
မေတ္တာတော်ကိုတုံ့ပြန်ရာဝယ်၊ အားနည်းလှ၏တကား။"
9|3|4|"ကျွန်ုပ်၏ဝိညာဉ်ကို၊ ခွန်အားဖြင့်ပြည့်စေလို။
ကျွန်ုပ်ဆန္ဒများနှင့်သက်တာ၊ ကိုယ်တော်အဖို့ဖြစ်စေ။
ကျွန်ုပ်ဆန္ဒများနှင့်သက်တာ၊ ကိုယ်တော်အဖို့ဖြစ်စေ။"
10|4|1|"ဝမ်းမြောက်သောသီချင်းသီဆိုပါ၊ ကောင်းဆုံးသီချင်းကျူးအေးပါ။
ရှိသမျှဝမ်းနည်းခြင်းပယ်ကာ၊ ကျယ်လောင်စွာပြုထောမနာ။
မိတ်ဆွေများနှင့်ပြန်ဆုံစေလို၊ ကိုယ်တော်အားချီးမွမ်းမြွက်ဆို။
ခြေတော်ရင်းပို့ဆောင်သောလမ်းကို၊ မေတ္တာတော်သံသင်ကြားလို။"
11|4|2|"ဝမ်းမြောက်သောသီချင်းကျူးအေးမည်၊ ပျော်ဖွယ်နေ့ကိုနှုတ်ဆက်မည်။
ဟောရှဏ္ဏများကျယ်စွာဆိုမည်၊ ကျေးဇူးဂါရဝပြုမည်။
ကယ်တင်ရှင်ဘုန်းတော်ချီးမွမ်းမည်၊ ထက်ရပ်အကြောင်းစဉ်းစားစဉ်။
ရှေးဝတ္ထုဟောင်းကိုဆက်ပြောမည်၊ ရွေးနုတ်တော်မူသောကြောင့်ပင်။"
12|5|3|"တစ်နှစ်လုံးကရုဏာများတွက်၊ သန့်ရှင်းအဖကျေးဇူးတင်။
ဤနေရာစုရုံးလျက်နေစဉ်၊ ကျေးဇူးတော်ချီးမွမ်းဆိုချင်။
သွေးတော်အားဖြင့်ရွေးနုတ်ခြင်းကို၊ ကယ်တင်ရှင်ကိုချီးမွမ်းလို။
ဝိညာဉ်တော်ဆင်းသက်တော်မူပါ၊ ကိုယ်တော်ထံသို့ပို့ဆောင်ပါ။"
13|5|1|"ယေရှုနာမတော်ချိုသာလှ၊ ထောမနာသီချင်းကျူးအေးမည်။
ကျွန်ုပ်ဝမ်းမြောက်ခြင်းပြည့်စုံရ၊ ဖိုးထိုက်နာမတော်မြတ်တည်း။"
14|5|2|"ခပ်သိမ်းသောငါ့ဝမ်းနည်းခြင်းများ၊ သိရှိတော်မူ၍ဝေးပယ်ရှား။
ထိုကြောင့်ကိုယ်တော်ကိုချစ်မြတ်နိုး၊ ယေရှုနာမငါအားကိုး။"
15|5|3|"ထိုနာမမြတ်ကိုစဉ်ကြားလို၊ ထောမနာပြုခြင်းဖြင့်သီဆို။
ကျဆင်းသောမျက်ရည်ခြောက်စေရ၊ ယေရှုနာမချီးမြှောက်ကြ။"
16|5|4|"နာမတော်မည်မျှမြတ်နိုးဖွယ်၊ လူနှုတ်ဖြင့်ဖော်ထုတ်ရန်မလွယ်။
တိုးတက်ချီးမွမ်းလျက်ရှိကြစေ၊ နာမတော်ကိုချီးကျူးလေ။"
17|6|1|"ဝမ်းမြောက်မြင့်မြတ်သီချင်းသံပြိုင်၊
ကျေးဇူးသံနှင့်ကျွန်ုပ်ကျူးမှာ၊
သို့သော်မည်သူထိုက်စွာကျူးနိုင်၊
သခင်ယေရှုအံ့ဖွယ်သောမေတ္တာ။"
18|6|2|"နေ့ချိန်ဝမ်းမြောက်ညဉ့်ချိန်ဆိတ်အေး၊
လှိုင်း၌ငြိမ်ခြင်းမှောင်မိုက်လင်းရာ၊
နာလျှင်သာယာအားနည်းအားပေး၊
သခင်ယေရှုအံ့ဖွယ်သောမေတ္တာ။"
19|6|3|"ကောင်းလျှင်ပြစ်လွှတ်မည်မျှော်လင့်သည်၊
လဲလျှင်ချီမမူမည်ယုံပါ၊
ရှင်ခြင်းသေခြင်းအားလုံးပြည့်သည်၊
သခင်ယေရှုအံ့ဖွယ်သောမေတ္တာ။"
20|7|1|"ကျွန်ုပ်၏စကားပတ္ထနာ၊ ကိုယ်တော်နံနက်ကြားမည်။
ကျွန်ုပ်မျက်စိနှင့်မျှော်ကြည့်ကာ၊ ကိုယ်တော်ကိုဆုတောင်းမည်။"
21|7|2|"သန့်ရှင်းသူတို့တွက်မှုဆောင်ရာ၊ ဈာန်ကြွခရစ်တော်မှာ။
ခမည်းတော်ရှေ့ကျွန်ုပ်တွက်တာ၊ ခစားတောင်းပန်နေရှာ။"
22|7|3|"ဝိညာဉ်အားဖြင့်ကျွန်ုပ်ခြေများ၊ လမ်းကောင်း၌လျှောက်စေပါ။
ကျွန်ုပ်မျက်နှာရှေ့လင်းစေသား၊ မှုလမ်း၌ဖြောင့်စေပါ။"
23|7|4|"နာမတော်ကိုချစ်သူတို့သည်၊ မျှော်လင့်ခြင်းပြည့်စုံမည်။
တန်ခိုးကြီးသောဘုရားဝိုင်းပြီ၊ သူတို့ကိုကွယ်ကာမည်။"
24|8|1|"ညဉ့်ဦးအချိန်ရှိပြီမိုးလည်းချုပ်သည်၊
ကိုယ်တော်အပြင်မစနိုင်သူမရှိ။
အကျိုးနည်းသူကိုထောက်ပံ့အံ့သောငှာ၊
အကျွန်ုပ်နှင့်အတူနေပါဘုရား။"
25|8|2|"အဆုံးတိုင်အောင်အသက်တာယုတ်လျော့သည်၊
မြေကြီးစံစားရာမွဲဘုန်းလဲစဲပြီ။
ဤလောက၌အနိစ္စသာထင်ရှား၊
အမြဲတည်ရှင်ကြွလာနေတော်မူပါ။"
